,Date,start,Visitor Team,visitorPts,Home Team,homePts,Score Type,OT?,Notes,HomeWin,HomeLastWin,VisitorLastWin
939,2014-03-09,6:00 pm,Denver Nuggets,107,New Orleans Pelicans,111,Box Score,OT,,True,True,False
940,2014-03-10,7:30 pm,Toronto Raptors,97,Brooklyn Nets,101,Box Score,,,True,True,False
941,2014-03-10,7:00 pm,Denver Nuggets,98,Charlotte Bobcats,105,Box Score,,,True,True,False
942,2014-03-10,10:30 pm,Phoenix Suns,105,Los Angeles Clippers,112,Box Score,,,True,True,False
943,2014-03-10,7:30 pm,Washington Wizards,90,Miami Heat,99,Box Score,,,True,True,False
944,2014-03-10,8:00 pm,Orlando Magic,98,Milwaukee Bucks,105,Box Score,,,True,True,False
945,2014-03-10,7:30 pm,Philadelphia 76ers,110,New York Knicks,123,Box Score,,,True,True,False
946,2014-03-10,9:00 pm,Atlanta Hawks,112,Utah Jazz,110,Box Score,,,False,False,True
947,2014-03-11,8:00 pm,San Antonio Spurs,104,Chicago Bulls,96,Box Score,,,False,False,True
948,2014-03-11,7:30 pm,Sacramento Kings,89,Detroit Pistons,99,Box Score,,,True,True,False
949,2014-03-11,10:30 pm,Dallas Mavericks,85,Golden State Warriors,108,Box Score,,,True,True,False
950,2014-03-11,7:00 pm,Boston Celtics,83,Indiana Pacers,94,Box Score,,,True,True,False
951,2014-03-11,8:00 pm,Portland Trail Blazers,99,Memphis Grizzlies,109,Box Score,,,True,True,False
952,2014-03-11,8:00 pm,Milwaukee Bucks,101,Minnesota Timberwolves,112,Box Score,,,True,True,False
953,2014-03-11,8:00 pm,Houston Rockets,98,Oklahoma City Thunder,106,Box Score,,,True,True,False
954,2014-03-12,7:30 pm,New York Knicks,116,Boston Celtics,92,Box Score,,,False,False,True
955,2014-03-12,10:30 pm,Golden State Warriors,98,Los Angeles Clippers,111,Box Score,,,True,True,False
956,2014-03-12,7:00 pm,Brooklyn Nets,96,Miami Heat,95,Box Score,,,False,False,True
957,2014-03-12,8:00 pm,Memphis Grizzlies,90,New Orleans Pelicans,88,Box Score,,,False,False,True
958,2014-03-12,7:00 pm,Denver Nuggets,120,Orlando Magic,112,Box Score,,,False,False,True
959,2014-03-12,7:00 pm,Sacramento Kings,115,Philadelphia 76ers,98,Box Score,,,False,False,True
960,2014-03-12,10:00 pm,Cleveland Cavaliers,110,Phoenix Suns,101,Box Score,,,False,False,True
961,2014-03-12,9:30 pm,Portland Trail Blazers,90,San Antonio Spurs,103,Box Score,,,True,True,False
962,2014-03-12,7:00 pm,Detroit Pistons,87,Toronto Raptors,101,Box Score,,,True,True,False
963,2014-03-12,9:00 pm,Dallas Mavericks,108,Utah Jazz,101,Box Score,,,False,False,True
964,2014-03-12,7:00 pm,Charlotte Bobcats,98,Washington Wizards,85,Box Score,,,False,False,True
965,2014-03-13,7:30 pm,Milwaukee Bucks,97,Atlanta Hawks,102,Box Score,,,True,True,False
966,2014-03-13,7:00 pm,Houston Rockets,87,Chicago Bulls,111,Box Score,,,True,True,False
967,2014-03-13,9:30 pm,Los Angeles Lakers,102,Oklahoma City Thunder,131,Box Score,,,True,True,False
968,2014-03-14,7:30 pm,Phoenix Suns,87,Boston Celtics,80,Box Score,,,False,False,True
969,2014-03-14,7:00 pm,Minnesota Timberwolves,93,Charlotte Bobcats,105,Box Score,,,True,True,False
970,2014-03-14,10:30 pm,Cleveland Cavaliers,103,Golden State Warriors,94,Box Score,,,False,False,True
971,2014-03-14,7:30 pm,Denver Nuggets,111,Miami Heat,107,Box Score,,,False,False,True
972,2014-03-14,8:00 pm,Portland Trail Blazers,111,New Orleans Pelicans,103,Box Score,,,False,False,True
973,2014-03-14,7:00 pm,Washington Wizards,105,Orlando Magic,101,Box Score,OT,,False,False,True
974,2014-03-14,7:00 pm,Indiana Pacers,101,Philadelphia 76ers,94,Box Score,,,False,False,True
975,2014-03-14,8:30 pm,Los Angeles Lakers,85,San Antonio Spurs,119,Box Score,,,True,True,False
976,2014-03-14,7:00 pm,Memphis Grizzlies,86,Toronto Raptors,99,Box Score,,,True,True,False
977,2014-03-14,9:00 pm,Los Angeles Clippers,96,Utah Jazz,87,Box Score,,,False,False,True
978,2014-03-15,7:30 pm,Denver Nuggets,92,Atlanta Hawks,97,Box Score,,,True,True,False
979,2014-03-15,8:00 pm,Sacramento Kings,87,Chicago Bulls,94,Box Score,,,True,True,False
980,2014-03-15,7:30 pm,Indiana Pacers,112,Detroit Pistons,104,Box Score,OT,,False,False,True
981,2014-03-15,12:00 am,Milwaukee Bucks,94,New York Knicks,115,Box Score,,,True,True,False
982,2014-03-15,7:30 pm,Memphis Grizzlies,103,Philadelphia 76ers,77,Box Score,,,False,False,True
983,2014-03-15,7:00 pm,Brooklyn Nets,94,Washington Wizards,101,Box Score,,,True,True,False
984,2014-03-16,9:30 pm,Cleveland Cavaliers,80,Los Angeles Clippers,102,Box Score,,,True,True,False
985,2014-03-16,3:30 pm,Houston Rockets,104,Miami Heat,113,Box Score,,,True,True,False
986,2014-03-16,1:00 pm,Charlotte Bobcats,101,Milwaukee Bucks,92,Box Score,,,False,False,True
987,2014-03-16,7:00 pm,Sacramento Kings,102,Minnesota Timberwolves,104,Box Score,,,True,True,False
988,2014-03-16,6:00 pm,Boston Celtics,120,New Orleans Pelicans,121,Box Score,OT,,True,True,False
989,2014-03-16,7:00 pm,Dallas Mavericks,109,Oklahoma City Thunder,86,Box Score,,,False,False,True
990,2014-03-16,9:00 pm,Golden State Warriors,113,Portland Trail Blazers,112,Box Score,,,False,False,True
991,2014-03-16,7:00 pm,Utah Jazz,104,San Antonio Spurs,122,Box Score,,,True,True,False
992,2014-03-16,1:00 pm,Phoenix Suns,121,Toronto Raptors,113,Box Score,,,False,False,True
993,2014-03-17,7:30 pm,Phoenix Suns,95,Brooklyn Nets,108,Box Score,,,True,True,False
994,2014-03-17,7:00 pm,Atlanta Hawks,97,Charlotte Bobcats,83,Box Score,,,False,False,True
995,2014-03-17,8:00 pm,Oklahoma City Thunder,97,Chicago Bulls,85,Box Score,,,False,False,True
996,2014-03-17,8:30 pm,Boston Celtics,89,Dallas Mavericks,94,Box Score,,,True,True,False
997,2014-03-17,10:30 pm,Los Angeles Clippers,100,Denver Nuggets,110,Box Score,,,True,True,False
998,2014-03-17,8:00 pm,Utah Jazz,86,Houston Rockets,124,Box Score,,,True,True,False
999,2014-03-17,7:00 pm,Philadelphia 76ers,90,Indiana Pacers,99,Box Score,,,True,True,False
1000,2014-03-18,7:30 pm,Toronto Raptors,113,Atlanta Hawks,118,Box Score,OT,,True,True,False
1001,2014-03-18,7:00 pm,Miami Heat,100,Cleveland Cavaliers,96,Box Score,,,False,False,True
1002,2014-03-18,10:30 pm,Orlando Magic,89,Golden State Warriors,103,Box Score,,,True,True,False
1003,2014-03-18,10:00 pm,Milwaukee Bucks,115,Portland Trail Blazers,120,Box Score,OT,,True,True,False
1004,2014-03-18,10:00 pm,Washington Wizards,111,Sacramento Kings,117,Box Score,OT,,True,True,False
1005,2014-03-19,7:30 pm,Miami Heat,96,Boston Celtics,101,Box Score,,,True,True,False
1006,2014-03-19,7:30 pm,Charlotte Bobcats,99,Brooklyn Nets,104,Box Score,,,True,True,False
1007,2014-03-19,8:30 pm,Minnesota Timberwolves,123,Dallas Mavericks,122,Box Score,OT,,False,False,True
1008,2014-03-19,9:00 pm,Detroit Pistons,109,Denver Nuggets,118,Box Score,,,True,True,False
1009,2014-03-19,10:30 pm,San Antonio Spurs,125,Los Angeles Lakers,109,Box Score,,,False,False,True
1010,2014-03-19,8:00 pm,Utah Jazz,86,Memphis Grizzlies,96,Box Score,,,True,True,False
1011,2014-03-19,8:00 pm,Toronto Raptors,107,New Orleans Pelicans,100,Box Score,,,False,False,True
1012,2014-03-19,8:00 pm,Indiana Pacers,86,New York Knicks,92,Box Score,,,True,True,False
1013,2014-03-19,7:00 pm,Chicago Bulls,102,Philadelphia 76ers,94,Box Score,,,False,False,True
1014,2014-03-19,10:00 pm,Orlando Magic,93,Phoenix Suns,109,Box Score,,,True,True,False
1015,2014-03-20,7:00 pm,Oklahoma City Thunder,102,Cleveland Cavaliers,95,Box Score,,,False,False,True
1016,2014-03-20,10:30 pm,Milwaukee Bucks,110,Golden State Warriors,115,Box Score,,,True,True,False
1017,2014-03-20,8:00 pm,Minnesota Timberwolves,106,Houston Rockets,129,Box Score,,,True,True,False
1018,2014-03-20,10:00 pm,Washington Wizards,103,Portland Trail Blazers,116,Box Score,,,True,True,False
1019,2014-03-21,7:30 pm,New Orleans Pelicans,111,Atlanta Hawks,105,Box Score,,,False,False,True
1020,2014-03-21,7:30 pm,Boston Celtics,98,Brooklyn Nets,114,Box Score,,,True,True,False
1021,2014-03-21,8:30 pm,Denver Nuggets,106,Dallas Mavericks,122,Box Score,,,True,True,False
1022,2014-03-21,7:00 pm,Chicago Bulls,79,Indiana Pacers,91,Box Score,,,True,True,False
1023,2014-03-21,10:30 pm,Washington Wizards,117,Los Angeles Lakers,107,Box Score,,,False,False,True
1024,2014-03-21,7:30 pm,Memphis Grizzlies,86,Miami Heat,91,Box Score,,,True,True,False
1025,2014-03-21,7:00 pm,New York Knicks,93,Philadelphia 76ers,92,Box Score,,,False,False,True
1026,2014-03-21,10:00 pm,Detroit Pistons,92,Phoenix Suns,98,Box Score,,,True,True,False
1027,2014-03-21,10:00 pm,San Antonio Spurs,99,Sacramento Kings,79,Box Score,,,False,False,True
1028,2014-03-21,7:00 pm,Oklahoma City Thunder,119,Toronto Raptors,118,Box Score,2OT,,False,False,True
1029,2014-03-22,7:00 pm,Portland Trail Blazers,94,Charlotte Bobcats,124,Box Score,,,True,True,False
1030,2014-03-22,8:00 pm,Philadelphia 76ers,81,Chicago Bulls,91,Box Score,,,True,True,False
1031,2014-03-22,7:30 pm,Houston Rockets,118,Cleveland Cavaliers,111,Box Score,,,False,False,True
1032,2014-03-22,10:30 pm,San Antonio Spurs,99,Golden State Warriors,90,Box Score,,,False,False,True
1033,2014-03-22,10:30 pm,Detroit Pistons,103,Los Angeles Clippers,112,Box Score,,,True,True,False
1034,2014-03-22,8:00 pm,Indiana Pacers,71,Memphis Grizzlies,82,Box Score,,,True,True,False
1035,2014-03-22,8:00 pm,Miami Heat,95,New Orleans Pelicans,105,Box Score,,,True,True,False
1036,2014-03-22,9:00 pm,Orlando Magic,88,Utah Jazz,89,Box Score,,,True,True,False
1037,2014-03-23,7:30 pm,Brooklyn Nets,107,Dallas Mavericks,104,Box Score,OT,,False,False,True
1038,2014-03-23,5:00 pm,Washington Wizards,102,Denver Nuggets,105,Box Score,,,True,True,False
1039,2014-03-23,9:30 pm,Orlando Magic,94,Los Angeles Lakers,103,Box Score,,,True,True,False
1040,2014-03-23,3:30 pm,Phoenix Suns,127,Minnesota Timberwolves,120,Box Score,,,False,False,True
1041,2014-03-23,7:30 pm,Cleveland Cavaliers,106,New York Knicks,100,Box Score,,,False,False,True
1042,2014-03-23,6:00 pm,Milwaukee Bucks,107,Sacramento Kings,124,Box Score,,,True,True,False
1043,2014-03-23,1:00 pm,Atlanta Hawks,86,Toronto Raptors,96,Box Score,,,True,True,False
1044,2014-03-24,7:30 pm,Phoenix Suns,102,Atlanta Hawks,95,Box Score,,,False,False,True
1045,2014-03-24,7:00 pm,Houston Rockets,100,Charlotte Bobcats,89,Box Score,,,False,False,True
1046,2014-03-24,8:00 pm,Indiana Pacers,77,Chicago Bulls,89,Box Score,,,True,True,False
1047,2014-03-24,10:30 pm,Milwaukee Bucks,98,Los Angeles Clippers,106,Box Score,,,True,True,False
1048,2014-03-24,8:00 pm,Minnesota Timberwolves,92,Memphis Grizzlies,109,Box Score,,,True,True,False
1049,2014-03-24,7:30 pm,Portland Trail Blazers,91,Miami Heat,93,Box Score,,,True,True,False
1050,2014-03-24,8:00 pm,Brooklyn Nets,104,New Orleans Pelicans,109,Box Score,OT,,True,True,False
1051,2014-03-24,8:00 pm,Denver Nuggets,96,Oklahoma City Thunder,117,Box Score,,,True,True,False
1052,2014-03-24,8:30 pm,Philadelphia 76ers,91,San Antonio Spurs,113,Box Score,,,True,True,False
1053,2014-03-24,9:00 pm,Detroit Pistons,114,Utah Jazz,94,Box Score,,,False,False,True
1054,2014-03-25,7:00 pm,Toronto Raptors,100,Cleveland Cavaliers,102,Box Score,,,True,True,False
1055,2014-03-25,8:00 pm,Oklahoma City Thunder,119,Dallas Mavericks,128,Box Score,OT,,True,True,False
1056,2014-03-25,10:30 pm,New York Knicks,96,Los Angeles Lakers,127,Box Score,,,True,True,False
1057,2014-03-25,7:00 pm,Portland Trail Blazers,85,Orlando Magic,95,Box Score,,,True,True,False
1058,2014-03-26,7:30 pm,Toronto Raptors,99,Boston Celtics,90,Box Score,,,False,False,True
1059,2014-03-26,7:00 pm,Brooklyn Nets,111,Charlotte Bobcats,116,Box Score,OT,,True,True,False
1060,2014-03-26,7:30 pm,Cleveland Cavaliers,97,Detroit Pistons,96,Box Score,,,False,False,True
1061,2014-03-26,8:00 pm,Miami Heat,83,Indiana Pacers,84,Box Score,,,True,True,False
1062,2014-03-26,8:00 pm,Atlanta Hawks,83,Minnesota Timberwolves,107,Box Score,,,True,True,False
1063,2014-03-26,8:00 pm,Los Angeles Clippers,96,New Orleans Pelicans,98,Box Score,,,True,True,False
1064,2014-03-26,10:00 pm,New York Knicks,107,Sacramento Kings,99,Box Score,,,False,False,True
1065,2014-03-26,8:30 pm,Denver Nuggets,103,San Antonio Spurs,108,Box Score,,,True,True,False
1066,2014-03-26,10:30 pm,Memphis Grizzlies,91,Utah Jazz,87,Box Score,,,False,False,True
1067,2014-03-26,7:00 pm,Phoenix Suns,99,Washington Wizards,93,Box Score,,,False,False,True
1068,2014-03-27,7:30 pm,Portland Trail Blazers,100,Atlanta Hawks,85,Box Score,,,False,False,True
1069,2014-03-27,8:30 pm,Los Angeles Clippers,109,Dallas Mavericks,103,Box Score,,,False,False,True
1070,2014-03-27,8:00 pm,Philadelphia 76ers,98,Houston Rockets,120,Box Score,,,True,True,False
1071,2014-03-27,8:00 pm,Los Angeles Lakers,105,Milwaukee Bucks,108,Box Score,,,True,True,False
1072,2014-03-28,7:30 pm,Cleveland Cavaliers,97,Brooklyn Nets,108,Box Score,,,True,True,False
1073,2014-03-28,8:00 pm,Portland Trail Blazers,91,Chicago Bulls,74,Box Score,,,False,False,True
1074,2014-03-28,9:00 pm,San Antonio Spurs,133,Denver Nuggets,102,Box Score,,,False,False,True
1075,2014-03-28,7:30 pm,Miami Heat,110,Detroit Pistons,78,Box Score,,,False,False,True
1076,2014-03-28,10:30 pm,Memphis Grizzlies,93,Golden State Warriors,100,Box Score,,,True,True,False
1077,2014-03-28,8:00 pm,Los Angeles Lakers,107,Minnesota Timberwolves,143,Box Score,,,True,True,False
1078,2014-03-28,8:00 pm,Utah Jazz,95,New Orleans Pelicans,102,Box Score,,,True,True,False
1079,2014-03-28,8:00 pm,Sacramento Kings,81,Oklahoma City Thunder,94,Box Score,,,True,True,False
1080,2014-03-28,7:00 pm,Charlotte Bobcats,105,Orlando Magic,110,Box Score,OT,,True,True,False
1081,2014-03-28,10:00 pm,New York Knicks,88,Phoenix Suns,112,Box Score,,,True,True,False
1082,2014-03-28,7:00 pm,Boston Celtics,103,Toronto Raptors,105,Box Score,,,True,True,False
1083,2014-03-28,7:00 pm,Indiana Pacers,78,Washington Wizards,91,Box Score,,,True,True,False
1084,2014-03-29,8:30 pm,Sacramento Kings,100,Dallas Mavericks,103,Box Score,,,True,True,False
1085,2014-03-29,8:00 pm,Los Angeles Clippers,118,Houston Rockets,107,Box Score,,,False,False,True
1086,2014-03-29,8:30 pm,Miami Heat,88,Milwaukee Bucks,67,Box Score,,,False,False,True
1087,2014-03-29,7:30 pm,Detroit Pistons,98,Philadelphia 76ers,123,Box Score,,,True,True,False
1088,2014-03-29,8:30 pm,New Orleans Pelicans,80,San Antonio Spurs,96,Box Score,,,True,True,False
1089,2014-03-29,8:00 pm,Atlanta Hawks,97,Washington Wizards,101,Box Score,,,True,True,False
1090,2014-03-30,7:00 pm,Chicago Bulls,107,Boston Celtics,102,Box Score,,,False,False,True
1091,2014-03-30,6:00 pm,Minnesota Timberwolves,99,Brooklyn Nets,114,Box Score,,,True,True,False
1092,2014-03-30,3:00 pm,Indiana Pacers,76,Cleveland Cavaliers,90,Box Score,,,True,True,False
1093,2014-03-30,9:00 pm,New York Knicks,89,Golden State Warriors,84,Box Score,,,False,False,True
1094,2014-03-30,9:30 pm,Phoenix Suns,99,Los Angeles Lakers,115,Box Score,,,True,True,False
1095,2014-03-30,3:00 pm,Utah Jazz,96,Oklahoma City Thunder,116,Box Score,,,True,True,False
1096,2014-03-30,6:00 pm,Toronto Raptors,98,Orlando Magic,93,Box Score,,,False,False,True
1097,2014-03-30,9:00 pm,Memphis Grizzlies,98,Portland Trail Blazers,105,Box Score,,,True,True,False
1098,2014-03-31,7:30 pm,Philadelphia 76ers,95,Atlanta Hawks,103,Box Score,,,True,True,False
1099,2014-03-31,7:00 pm,Washington Wizards,94,Charlotte Bobcats,100,Box Score,,,True,True,False
1100,2014-03-31,8:00 pm,Boston Celtics,80,Chicago Bulls,94,Box Score,,,True,True,False
1101,2014-03-31,9:00 pm,Memphis Grizzlies,94,Denver Nuggets,92,Box Score,,,False,False,True
1102,2014-03-31,7:30 pm,Milwaukee Bucks,111,Detroit Pistons,116,Box Score,,,True,True,False
1103,2014-03-31,7:00 pm,San Antonio Spurs,103,Indiana Pacers,77,Box Score,,,False,False,True
1104,2014-03-31,7:30 pm,Toronto Raptors,83,Miami Heat,93,Box Score,,,True,True,False
1105,2014-03-31,8:00 pm,Los Angeles Clippers,114,Minnesota Timberwolves,104,Box Score,,,False,False,True
1106,2014-03-31,8:00 pm,Sacramento Kings,102,New Orleans Pelicans,97,Box Score,,,False,False,True
1107,2014-03-31,9:00 pm,New York Knicks,92,Utah Jazz,83,Box Score,,,False,False,True
1108,2014-04-01,8:00 pm,Houston Rockets,96,Brooklyn Nets,105,Box Score,,,True,True,False
1109,2014-04-01,8:30 pm,Golden State Warriors,122,Dallas Mavericks,120,Box Score,OT,,False,False,True
1110,2014-04-01,10:30 pm,Portland Trail Blazers,124,Los Angeles Lakers,112,Box Score,,,False,False,True
1111,2014-04-02,7:30 pm,Chicago Bulls,105,Atlanta Hawks,92,Box Score,,,False,False,True
1112,2014-04-02,9:00 pm,New Orleans Pelicans,107,Denver Nuggets,137,Box Score,,,True,True,False
1113,2014-04-02,7:00 pm,Detroit Pistons,94,Indiana Pacers,101,Box Score,,,True,True,False
1114,2014-04-02,7:30 pm,Milwaukee Bucks,77,Miami Heat,96,Box Score,,,True,True,False
1115,2014-04-02,8:00 pm,Memphis Grizzlies,88,Minnesota Timberwolves,102,Box Score,,,True,True,False
1116,2014-04-02,7:00 pm,Brooklyn Nets,81,New York Knicks,110,Box Score,,,True,True,False
1117,2014-04-02,7:00 pm,Cleveland Cavaliers,119,Orlando Magic,98,Box Score,,,False,False,True
1118,2014-04-02,7:00 pm,Charlotte Bobcats,123,Philadelphia 76ers,93,Box Score,,,False,False,True
1119,2014-04-02,10:00 pm,Los Angeles Clippers,112,Phoenix Suns,108,Box Score,,,False,False,True
1120,2014-04-02,10:00 pm,Los Angeles Lakers,102,Sacramento Kings,107,Box Score,,,True,True,False
1121,2014-04-02,8:30 pm,Golden State Warriors,90,San Antonio Spurs,111,Box Score,,,True,True,False
1122,2014-04-02,7:00 pm,Houston Rockets,103,Toronto Raptors,107,Box Score,,,True,True,False
1123,2014-04-02,7:00 pm,Boston Celtics,92,Washington Wizards,118,Box Score,,,True,True,False
1124,2014-04-03,10:30 pm,Dallas Mavericks,113,Los Angeles Clippers,107,Box Score,,,False,False,True
1125,2014-04-03,8:00 pm,San Antonio Spurs,94,Oklahoma City Thunder,106,Box Score,,,True,True,False
1126,2014-04-04,7:30 pm,Cleveland Cavaliers,98,Atlanta Hawks,117,Box Score,,,True,True,False
1127,2014-04-04,7:30 pm,Philadelphia 76ers,111,Boston Celtics,102,Box Score,,,False,False,True
1128,2014-04-04,7:30 pm,Detroit Pistons,104,Brooklyn Nets,116,Box Score,,,True,True,False
1129,2014-04-04,7:00 pm,Orlando Magic,80,Charlotte Bobcats,91,Box Score,,,True,True,False
1130,2014-04-04,8:00 pm,Milwaukee Bucks,90,Chicago Bulls,102,Box Score,,,True,True,False
1131,2014-04-04,10:30 pm,Sacramento Kings,69,Golden State Warriors,102,Box Score,,,True,True,False
1132,2014-04-04,9:30 pm,Oklahoma City Thunder,107,Houston Rockets,111,Box Score,,,True,True,False
1133,2014-04-04,10:30 pm,Dallas Mavericks,107,Los Angeles Lakers,95,Box Score,,,False,False,True
1134,2014-04-04,7:00 pm,Denver Nuggets,92,Memphis Grizzlies,100,Box Score,,,True,True,False
1135,2014-04-04,7:30 pm,Minnesota Timberwolves,122,Miami Heat,121,Box Score,2OT,,False,False,True
1136,2014-04-04,7:30 pm,Washington Wizards,90,New York Knicks,89,Box Score,,,False,False,True
1137,2014-04-04,10:00 pm,Phoenix Suns,109,Portland Trail Blazers,93,Box Score,,,False,False,True
1138,2014-04-04,7:00 pm,Indiana Pacers,94,Toronto Raptors,102,Box Score,,,True,True,False
1139,2014-04-04,9:00 pm,New Orleans Pelicans,96,Utah Jazz,100,Box Score,,,True,True,False
1140,2014-04-05,7:30 pm,Charlotte Bobcats,96,Cleveland Cavaliers,94,Box Score,OT,,False,False,True
1141,2014-04-05,7:30 pm,Boston Celtics,111,Detroit Pistons,115,Box Score,,,True,True,False
1142,2014-04-05,8:30 pm,Toronto Raptors,102,Milwaukee Bucks,98,Box Score,,,False,False,True
1143,2014-04-05,7:00 pm,Minnesota Timberwolves,92,Orlando Magic,100,Box Score,,,True,True,False
1144,2014-04-05,7:30 pm,Brooklyn Nets,105,Philadelphia 76ers,101,Box Score,,,False,False,True
1145,2014-04-05,7:00 pm,Chicago Bulls,96,Washington Wizards,78,Box Score,,,False,False,True
1146,2014-04-06,9:00 pm,Utah Jazz,102,Golden State Warriors,130,Box Score,,,True,True,False
1147,2014-04-06,7:00 pm,Denver Nuggets,125,Houston Rockets,130,Box Score,OT,,True,True,False
1148,2014-04-06,6:00 pm,Atlanta Hawks,107,Indiana Pacers,88,Box Score,,,False,False,True
1149,2014-04-06,3:30 pm,Los Angeles Lakers,97,Los Angeles Clippers,120,Box Score,,,True,True,False
1150,2014-04-06,1:00 pm,New York Knicks,91,Miami Heat,102,Box Score,,,True,True,False
1151,2014-04-06,9:00 pm,Oklahoma City Thunder,115,Phoenix Suns,122,Box Score,,,True,True,False
1152,2014-04-06,9:00 pm,New Orleans Pelicans,94,Portland Trail Blazers,100,Box Score,,,True,True,False
1153,2014-04-06,6:00 pm,Dallas Mavericks,93,Sacramento Kings,91,Box Score,,,False,False,True
1154,2014-04-06,7:00 pm,Memphis Grizzlies,92,San Antonio Spurs,112,Box Score,,,True,True,False
1155,2014-04-08,7:30 pm,Detroit Pistons,102,Atlanta Hawks,95,Box Score,,,False,False,True
1156,2014-04-08,10:30 pm,Houston Rockets,145,Los Angeles Lakers,130,Box Score,,,False,False,True
1157,2014-04-08,8:00 pm,Brooklyn Nets,88,Miami Heat,87,Box Score,,,False,False,True
1158,2014-04-08,8:00 pm,San Antonio Spurs,91,Minnesota Timberwolves,110,Box Score,,,True,True,False
1159,2014-04-08,10:00 pm,Oklahoma City Thunder,107,Sacramento Kings,92,Box Score,,,False,False,True
1160,2014-04-08,9:00 pm,Dallas Mavericks,95,Utah Jazz,83,Box Score,,,False,False,True
1161,2014-04-09,7:30 pm,Boston Celtics,97,Atlanta Hawks,105,Box Score,,,True,True,False
1162,2014-04-09,7:00 pm,Detroit Pistons,100,Cleveland Cavaliers,122,Box Score,,,True,True,False
1163,2014-04-09,9:00 pm,Houston Rockets,116,Denver Nuggets,123,Box Score,,,True,True,False
1164,2014-04-09,10:30 pm,Oklahoma City Thunder,107,Los Angeles Clippers,101,Box Score,,,False,False,True
1165,2014-04-09,8:00 pm,Miami Heat,102,Memphis Grizzlies,107,Box Score,,,True,True,False
1166,2014-04-09,8:00 pm,Indiana Pacers,104,Milwaukee Bucks,102,Box Score,,,False,False,True
1167,2014-04-09,8:00 pm,Chicago Bulls,102,Minnesota Timberwolves,87,Box Score,,,False,False,True
1168,2014-04-09,8:00 pm,Phoenix Suns,94,New Orleans Pelicans,88,Box Score,,,False,False,True
1169,2014-04-09,7:00 pm,Brooklyn Nets,111,Orlando Magic,115,Box Score,,,True,True,False
1170,2014-04-09,10:00 pm,Sacramento Kings,99,Portland Trail Blazers,100,Box Score,,,True,True,False
1171,2014-04-09,7:00 pm,Philadelphia 76ers,114,Toronto Raptors,125,Box Score,,,True,True,False
1172,2014-04-09,7:00 pm,Charlotte Bobcats,94,Washington Wizards,88,Box Score,OT,,False,False,True
1173,2014-04-10,8:00 pm,San Antonio Spurs,109,Dallas Mavericks,100,Box Score,,,False,False,True
1174,2014-04-10,10:30 pm,Denver Nuggets,100,Golden State Warriors,99,Box Score,,,False,False,True
1175,2014-04-11,7:30 pm,Charlotte Bobcats,103,Boston Celtics,106,Box Score,,,True,True,False
1176,2014-04-11,7:30 pm,Atlanta Hawks,93,Brooklyn Nets,88,Box Score,,,False,False,True
1177,2014-04-11,8:00 pm,Detroit Pistons,98,Chicago Bulls,106,Box Score,,,True,True,False
1178,2014-04-11,10:30 pm,Golden State Warriors,112,Los Angeles Lakers,95,Box Score,,,False,False,True
1179,2014-04-11,8:00 pm,Philadelphia 76ers,95,Memphis Grizzlies,117,Box Score,,,True,True,False
1180,2014-04-11,7:30 pm,Indiana Pacers,86,Miami Heat,98,Box Score,,,True,True,False
1181,2014-04-11,8:30 pm,Cleveland Cavaliers,116,Milwaukee Bucks,119,Box Score,,,True,True,False
1182,2014-04-11,8:00 pm,Houston Rockets,110,Minnesota Timberwolves,112,Box Score,,,True,True,False
1183,2014-04-11,8:00 pm,New Orleans Pelicans,94,Oklahoma City Thunder,116,Box Score,,,True,True,False
1184,2014-04-11,7:00 pm,Washington Wizards,96,Orlando Magic,86,Box Score,,,False,False,True
1185,2014-04-11,8:30 pm,Phoenix Suns,104,San Antonio Spurs,112,Box Score,,,True,True,False
1186,2014-04-11,7:00 pm,New York Knicks,108,Toronto Raptors,100,Box Score,,,False,False,True
1187,2014-04-11,9:00 pm,Portland Trail Blazers,111,Utah Jazz,99,Box Score,,,False,False,True
1188,2014-04-12,7:30 pm,Miami Heat,85,Atlanta Hawks,98,Box Score,,,True,True,False
1189,2014-04-12,7:00 pm,Philadelphia 76ers,105,Charlotte Bobcats,111,Box Score,,,True,True,False
1190,2014-04-12,7:30 pm,Boston Celtics,111,Cleveland Cavaliers,99,Box Score,,,False,False,True
1191,2014-04-12,8:30 pm,Phoenix Suns,98,Dallas Mavericks,101,Box Score,,,True,True,False
1192,2014-04-12,9:00 pm,Utah Jazz,94,Denver Nuggets,101,Box Score,,,True,True,False
1193,2014-04-12,8:00 pm,New Orleans Pelicans,104,Houston Rockets,111,Box Score,,,True,True,False
1194,2014-04-12,3:30 pm,Sacramento Kings,101,Los Angeles Clippers,117,Box Score,,,True,True,False
1195,2014-04-12,7:00 pm,Milwaukee Bucks,91,Washington Wizards,104,Box Score,,,True,True,False
1196,2014-04-13,6:00 pm,Orlando Magic,88,Brooklyn Nets,97,Box Score,,,True,True,False
1197,2014-04-13,3:30 pm,Toronto Raptors,116,Detroit Pistons,107,Box Score,,,False,False,True
1198,2014-04-13,1:00 pm,Oklahoma City Thunder,97,Indiana Pacers,102,Box Score,,,True,True,False
1199,2014-04-13,9:30 pm,Memphis Grizzlies,102,Los Angeles Lakers,90,Box Score,,,False,False,True
